"lat","long","linea","estacion","escaleras_mecanicas","ascensores"
"-34.6182799671446","-58.4364285288493","A","ACOYTE","2","2"
"-34.626666593180296","-58.45670979752379","A","CARABOBO","3","3"
"-34.6117702291255","-58.4218156713706","A","CASTRO BARROS","1","1"
"-34.6092256843174","-58.392668824664796","A","CONGRESO","2","2"
"-34.6090998065519","-58.38223240101811","A","LIMA","1","0"
"-34.610781690450395","-58.415185708837605","A","LORIA","1","1"
"-34.6085590738533","-58.374267726430396","A","PERU","2","2"
"-34.608881721215","-58.3790851530908","A","PIEDRAS","1","0"
"-34.608810309168895","-58.3709684989674","A","PLAZA DE MAYO","0","1"
"-34.6098172456706","-58.4067071165088","A","PLAZA MISERERE","6","0"
"-34.6204052128589","-58.4411776251109","A","PRIMERA JUNTA","3","2"
"-34.6235289528893","-58.448647654026395","A","PUAN","3","3"
"-34.6094125865027","-58.386777194087294","A","SAENZ PEÑA","2","0"
"-34.629087226797","-58.463540510628604","A","SAN JOSE DE FLORES","4","3"
"-34.630707087006","-58.4696396292247","A","SAN PEDRITO","3","2"
"-34.602162229342696","-58.4312738603246","B","ANGEL GALLARDO","1","0"
"-34.604419542860796","-58.392314235088705","B","CALLAO","5","3"
"-34.599639552419","-58.3931251809727","B","CALLAO","5","3"
"-34.6040795173475","-58.4117625996321","B","CARLOS GARDEL","4","0"
"-34.6036371051817","-58.380714847140894","B","CARLOS PELLEGRINI","2","0"
"-34.5917181536198","-58.4475730925312","B","DORREGO","1","0"
"-34.5777973775423","-58.4810135036721","B","ECHEVERRIA","5","3"
"-34.5871978529904","-58.455029286281004","B","FEDERICO LACROZE","3","0"
"-34.603297285577504","-58.375071518263596","B","FLORIDA","4","0"
"-34.574318914274805","-58.4863853478891","B","JUAN MANUEL DE ROSAS","11","6"
"-34.6029894966332","-58.369929850122396","B","LEANDRO ALEM","2","0"
"-34.5812488459579","-58.4742408261771","B","LOS INCAS","4","2"
"-34.5989673641588","-58.439771498415496","B","MALABIA","1","0"
"-34.6031649010973","-58.4209624702706","B","MEDRANO","1","0"
"-34.604642967919304","-58.399474256679","B","PASTEUR","4","0"
"-34.6045810553512","-58.4053994398434","B","PUEYRREDON","5","0"
"-34.5944257186285","-58.40239534253511","B","PUEYRREDON","5","0"
"-34.5840946201161","-58.4662272046921","B","TRONADOR","4","2"
"-34.6040935531057","-58.387296133540794","B","URUGUAY","2","3"
"-34.6089833148827","-58.3806107179579","C","AVENIDA DE MAYO","3","0"
"-34.6276194522548","-58.381434433934295","C","CONSTITUCION","2","4"
"-34.604843739913996","-58.3795299800739","C","DIAGONAL NORTE","4","0"
"-34.6181255992933","-58.380173610475204","C","INDEPENDENCIA","2","0"
"-34.6179373939772","-58.38153494171221","C","INDEPENDENCIA","2","0"
"-34.601769923011396","-58.3781557828244","C","LAVALLE","4","0"
"-34.6126172798037","-58.38044446966","C","MORENO","2","0"
"-34.5911938083332","-58.3740182164816","C","RETIRO","2","0"
"-34.5919013602604","-58.3766323328018","C","RETIRO","2","0"
"-34.6219167322081","-58.3799211788651","C","SAN JUAN","2","0"
"-34.5950574047792","-58.3778190509867","C","SAN MARTIN","3","0"
"-34.6042452029629","-58.3805743428896","D","9 DE JULIO","2","0"
"-34.5916278437199","-58.40716132018989","D","AGÜERO","3","0"
"-34.5882371084182","-58.411293901393606","D","BULNES","1","0"
"-34.604419542860796","-58.392314235088705","D","CALLAO","1","1"
"-34.599639552419","-58.3931251809727","D","CALLAO","1","1"
"-34.5751783641113","-58.435013533733795","D","CARRANZA","8","0"
"-34.6078023364289","-58.3739558069511","D","CATEDRAL","1","1"
"-34.5556417664261","-58.462378408224296","D","CONGRESO DE TUCUMAN","6","2"
"-34.5997570807639","-58.397923755573395","D","FACULTAD DE MEDICINA","3","2"
"-34.5662152421589","-58.4521256033889","D","JOSE HERNANDEZ","5","0"
"-34.5623090869974","-58.456489134589006","D","JURAMENTO","6","3"
"-34.5700123078257","-58.44466814833489","D","OLLEROS","4","0"
"-34.5784220227904","-58.4257114411123","D","PALERMO","3","0"
"-34.581411193604495","-58.4211960101264","D","PLAZA ITALIA","5","0"
"-34.6045810553512","-58.4053994398434","D","PUEYRREDON","3","0"
"-34.5944257186285","-58.40239534253511","D","PUEYRREDON","3","0"
"-34.6015871651394","-58.385142358801296","D","TRIBUNALES","5","1"
"-34.627015467002","-58.4267890228972","E","AVENIDA LA PLATA","2","0"
"-34.6128491058186","-58.377580886540606","E","BELGRANO","3","0"
"-34.6253661058926","-58.4155328189678","E","BOEDO","1","0"
"-34.6092424288608","-58.3736842241685","E","BOLIVAR","5","0"
"-34.596657340233","-58.3717721700668","E","CATALINAS","6","2"
"-34.6033293842467","-58.3704042434692","E","CORREO CENTRAL","9","4"
"-34.6310418421655","-58.442170705965204","E","EMILIO MITRE","1","0"
"-34.6227196661278","-58.3915116999715","E","ENTRE RIOS","2","0"
"-34.6181255992933","-58.380173610475204","E","INDEPENDENCIA","3","0"
"-34.6179373939772","-58.38153494171221","E","INDEPENDENCIA","3","0"
"-34.6280175487742","-58.433816250239495","E","JOSE MARIA MORENO","2","0"
"-34.6238657115835","-58.4029365802561","E","JUJUY","2","0"
"-34.6363891893858","-58.4502782563709","E","MEDALLA MILAGROSA","2","0"
"-34.6231098657791","-58.3970680746626","E","PICHINCHA","2","0"
"-34.5911938083332","-58.3740182164816","E","RETIRO","10","3"
"-34.5919013602604","-58.3766323328018","E","RETIRO","10","3"
"-34.6223394919367","-58.38514854962379","E","SAN JOSE","2","0"
"-34.6246537864662","-58.409390783443605","E","URQUIZA","2","0"
"-34.640137352298005","-58.457891755773105","E","VARELA","1","0"
"-34.635750180342995","-58.3989275853601","H","CASEROS","4","3"
"-34.5984551117734","-58.403721496438706","H","CORDOBA","6","3"
"-34.6044902016081","-58.4054503284842","H","CORRIENTES","10","6"
"-34.5834397237767","-58.3913254737854","H","FACULTAD DE DERECHO","2","3"
"-34.6412689433909","-58.4123851512005","H","HOSPITALES","3","3"
"-34.6230923205019","-58.402322730424004","H","HUMBERTO 1°","5","4"
"-34.6293756575728","-58.400969556016506","H","INCLAN","4","3"
"-34.5874615464262","-58.3972155751019","H","LAS HERAS","6","4"
"-34.6089352416215","-58.40603638103521","H","ONCE","10","3"
"-34.6384059882851","-58.4057948259686","H","PARQUE PATRICIOS","4","3"
"-34.5945253962188","-58.402376175034895","H","SANTA FE","9","7"
"-34.6152421522706","-58.404731716490005","H","VENEZUELA","4","3"
