long,lat,linea,estacion,escaleras_mecanicas,ascensores
-58.4364285288493,-34.6182799671446,A,ACOYTE,2,2
-58.45670979752379,-34.626666593180296,A,CARABOBO,3,3
-58.4218156713706,-34.6117702291255,A,CASTRO BARROS,1,1
-58.392668824664796,-34.6092256843174,A,CONGRESO,2,2
-58.38223240101811,-34.6090998065519,A,LIMA,1,0
-58.415185708837605,-34.610781690450395,A,LORIA,1,1
-58.374267726430396,-34.6085590738533,A,PERU,2,2
-58.3790851530908,-34.608881721215,A,PIEDRAS,1,0
-58.3709684989674,-34.608810309168895,A,PLAZA DE MAYO,0,1
-58.4067071165088,-34.6098172456706,A,PLAZA MISERERE,6,0
-58.4411776251109,-34.6204052128589,A,PRIMERA JUNTA,3,2
-58.448647654026395,-34.6235289528893,A,PUAN,3,3
-58.386777194087294,-34.6094125865027,A,SAENZ PEÑA,2,0
-58.463540510628604,-34.629087226797,A,SAN JOSE DE FLORES,4,3
-58.4696396292247,-34.630707087006,A,SAN PEDRITO,3,2
-58.4312738603246,-34.602162229342696,B,ANGEL GALLARDO,1,0
-58.392314235088705,-34.604419542860796,B,CALLAO,5,3
-58.3931251809727,-34.599639552419,B,CALLAO,5,3
-58.4117625996321,-34.6040795173475,B,CARLOS GARDEL,4,0
-58.380714847140894,-34.6036371051817,B,CARLOS PELLEGRINI,2,0
-58.4475730925312,-34.5917181536198,B,DORREGO,1,0
-58.4810135036721,-34.5777973775423,B,ECHEVERRIA,5,3
-58.455029286281004,-34.5871978529904,B,FEDERICO LACROZE,3,0
-58.375071518263596,-34.603297285577504,B,FLORIDA,4,0
-58.4863853478891,-34.574318914274805,B,JUAN MANUEL DE ROSAS,11,6
-58.369929850122396,-34.6029894966332,B,LEANDRO ALEM,2,0
-58.4742408261771,-34.5812488459579,B,LOS INCAS,4,2
-58.439771498415496,-34.5989673641588,B,MALABIA,1,0
-58.4209624702706,-34.6031649010973,B,MEDRANO,1,0
-58.399474256679,-34.604642967919304,B,PASTEUR,4,0
-58.4053994398434,-34.6045810553512,B,PUEYRREDON,5,0
-58.40239534253511,-34.5944257186285,B,PUEYRREDON,5,0
-58.4662272046921,-34.5840946201161,B,TRONADOR,4,2
-58.387296133540794,-34.6040935531057,B,URUGUAY,2,3
-58.3806107179579,-34.6089833148827,C,AVENIDA DE MAYO,3,0
-58.381434433934295,-34.6276194522548,C,CONSTITUCION,2,4
-58.3795299800739,-34.604843739913996,C,DIAGONAL NORTE,4,0
-58.380173610475204,-34.6181255992933,C,INDEPENDENCIA,2,0
-58.38153494171221,-34.6179373939772,C,INDEPENDENCIA,2,0
-58.3781557828244,-34.601769923011396,C,LAVALLE,4,0
-58.38044446966,-34.6126172798037,C,MORENO,2,0
-58.3740182164816,-34.5911938083332,C,RETIRO,2,0
-58.3766323328018,-34.5919013602604,C,RETIRO,2,0
-58.3799211788651,-34.6219167322081,C,SAN JUAN,2,0
-58.3778190509867,-34.5950574047792,C,SAN MARTIN,3,0
-58.3805743428896,-34.6042452029629,D,9 DE JULIO,2,0
-58.40716132018989,-34.5916278437199,D,AGÜERO,3,0
-58.411293901393606,-34.5882371084182,D,BULNES,1,0
-58.392314235088705,-34.604419542860796,D,CALLAO,1,1
-58.3931251809727,-34.599639552419,D,CALLAO,1,1
-58.435013533733795,-34.5751783641113,D,CARRANZA,8,0
-58.3739558069511,-34.6078023364289,D,CATEDRAL,1,1
-58.462378408224296,-34.5556417664261,D,CONGRESO DE TUCUMAN,6,2
-58.397923755573395,-34.5997570807639,D,FACULTAD DE MEDICINA,3,2
-58.4521256033889,-34.5662152421589,D,JOSE HERNANDEZ,5,0
-58.456489134589006,-34.5623090869974,D,JURAMENTO,6,3
-58.44466814833489,-34.5700123078257,D,OLLEROS,4,0
-58.4257114411123,-34.5784220227904,D,PALERMO,3,0
-58.4211960101264,-34.581411193604495,D,PLAZA ITALIA,5,0
-58.4053994398434,-34.6045810553512,D,PUEYRREDON,3,0
